Site,Bar_type
003L,Reattachment
008L,Separation 
009L,Reattachment
016L,Separation 
022R,Reattachment
024L,Undifferentiated
029L,Undifferentiated
030R,Reattachment
032R,Undifferentiated
033L,Reattachment
035L,Total
035L_R,Reattachment
035L_S,Separation
041R,Total
041R_R,Reattachment
041R_S,Separation
043L,Reattachment
044L,Total
044L_S,Separation
044L_R,Reattachment
045L,Total
045L_S,Separation
045L_R,Reattachment
047R,Reattachment
050R,Total
050R_S,Separation
050R_R,Reattachment
051L,Reattachment
055R,Reattachment
056r,Undifferentiated
062R,Reattachment
063L,Total
063L_S,Separation
063L_R,Reattachment
065R,Total
065R_S,Separation
065R_R,Reattachment
068R,Undifferentiated
070R,Undifferentiated
081L,Undifferentiated
084R,Undifferentiated
087L,Undifferentiated
091R,Separation 
093L,Undifferentiated
096L,Undifferentiated
104R,Reattachment
119R,Reattachment
122R,Reattachment
123L,Reattachment
137L,Reattachment
139R,Undifferentiated
145L,Reattachment
167L,Separation 
172L,Reattachment
183R,Reattachment
194L,Reattachment
202R_S,Separation
202R_R,Reattachment
202R,Total
213L,Undifferentiated
220R,Undifferentiated
225R,Reattachment
