Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
051l,9/30/1990,above25k,4288.741741,4296.626041,537.4040017,171.5496696
051l,7/28/1991,above25k,4267.278915,4277.434696,642.7168618,170.6911566
051l,9/27/1991,above25k,4965.648004,4976.213526,1247.483355,198.6259202
051l,10/27/1991,above25k,4853.296152,4864.720282,1142.87751,194.1318461
051l,10/21/1992,above25k,4287.369793,4296.333978,455.9934348,171.4947917
051l,4/4/1993,above25k,4279.441256,4288.899302,589.1363957,171.1776502
051l,10/12/1993,above25k,4272.140943,4283.137036,617.3513072,170.8856377
051l,4/12/1994,above25k,4425.658324,4437.16266,694.7450093,177.026333
051l,11/24/1994,above25k,4235.998595,4245.31435,479.1584697,169.4399438
051l,4/29/1995,above25k,4266.727871,4277.596924,458.3792531,170.6691148
051l,2/19/1996,above25k,4260.146884,4270.310543,370.2240285,170.4058754
051l,4/20/1996,above25k,5867.467378,5894.758179,3817.610172,234.6986951
051l,9/17/1996,above25k,5590.889408,5625.126523,3692.040178,223.6355763
051l,2/17/1997,above25k,5505.521175,5542.443811,3549.015439,220.220847
051l,4/24/1997,above25k,5337.244126,5374.127729,3396.365084,213.489765
051l,8/28/1997,above25k,5174.654505,5214.796751,3229.037253,206.9861802
051l,11/10/1997,above25k,5572.061018,5606.34581,3204.187259,222.8824407
051l,4/19/1998,above25k,5336.673379,5373.899067,3163.245068,213.4669351
051l,5/9/1999,above25k,5234.648272,5276.774635,3206.679311,209.3859309
051l,3/24/2000,above25k,5218.241757,5256.523433,3159.826412,208.7296703
051l,6/11/2000,above25k,5475.706619,5512.79738,3161.940501,219.0282648
051l,8/25/2000,above25k,5443.123344,5479.340128,3144.30649,217.7249338
051l,9/14/2000,above25k,5960.115864,6005.01939,3678.213309,238.4046345
051l,10/9/2001,above25k,5605.696284,5649.36226,2985.587072,224.2278514
051l,9/25/2002,above25k,5375.012278,5412.132234,2842.959443,215.0004911
051l,5/1/2003,above25k,5436.284868,5474.70272,2907.336069,217.4513947
051l,9/25/2003,above25k,5224.815807,5260.725474,2712.384594,208.9926323
051l,1/2/2005,above25k,6243.364215,6294.655627,3792.017406,249.7345686
051l,5/12/2005,above25k,5975.56102,6027.021476,3684.264142,239.0224408
051l,10/12/2006,above25k,6006.860539,6053.813183,3736.860414,240.2744216
051l,10/18/2007,above25k,6045.308651,6094.39387,3858.382551,241.812346
051l,2/8/2008,above25k,6046.497017,6095.293472,3875.861221,241.8598807
051l,4/2/2008,above25k,6231.755809,6299.456847,4365.291917,249.2702324
051l,5/21/2008,above25k,6221.526801,6288.07921,4330.873494,248.861072
051l,10/15/2008,above25k,6209.108397,6276.743003,4340.249159,248.3643359
051l,10/14/2009,above25k,6193.751263,6264.916624,4328.891007,247.7500505
051l,10/10/2011,above25k,6063.943556,6142.808572,4258.541591,242.5577422
051l,10/8/2012,above25k,6032.127877,6107.884866,4280.59949,241.2851151
051l,9/26/2013,above25k,6019.602293,6101.813286,4405.011578,240.7840917
051l,9/29/2014,above25k,7090.802206,7177.27036,4934.167187,283.6320882
051l,9/28/2015,above25k,7061.278645,7149.434594,5232.638303,282.4511458
051l,10/6/2016,above25k,6998.185565,7091.306456,5166.825049,279.9274226
